Site,Plot,X,Y,TP,Comments,Sex,Pollination,Jun-21-2021,Jun-23-2021,Jun-25-2021,Jun-28-2021,Jun-29-2021,Jun-30-2021,Jul-2-2021,Jul-5-2021,Jul-8-2021,Jul-12-2021,Jul-14-2021,Jul-16-2021,Jul-19-2021,Jul-21-2021,Jul-23-2021,Jul-26-2021
T1,C,820,28,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,825,-40,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,827,-54,RC,,H,,0,0,0,4,,0,1,0,1,0,0,,,,,
T1,C,828,54,OD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,833,-60,OS,"mostly dead, TP by alive bit, out",,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,839,33,BC,,H,,0,0,0,B,,0,B,1,1,1,0,0,0,,,
T1,C,865,3,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,869,-27,YD,mostly dead ,,,0,0,0,0,,0,0,0,B,B,B,1,1,0,,0
T1,C,932,-54,BC,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,943,-25,GD,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,958,24,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,959,27,OC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,979,-36,WH,,H,,0,0,0,5,,0,0,0,0,0,,,,,,
T1,C,1004,27,BC,mostly dead - 1 leaf,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1013,28,GH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1016,33,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1092,41,WH,DB,H,,0,0,0,3,,3,4,5,5,3,2,1,0,0,,
T1,C,1161,23,BC,,H,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1177,-35,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1211,-36,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1215,20,GD,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1227,-32,YC,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,C,1295,0,GC,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,8,-10,YH,,H,,0,0,0,0,,0,0,B,1,2,2,0,0,0,,
T1,E,20,-1,GS,ST,F,,0,0,0,0,,B,0,B,1,2,3,2,1,1,,0
T1,E,22,47,RS,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,49,12,OD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,49,56,YS,by edge! ,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,64,11,YS,,H,,B,B,1,B,,B,0,3,3,1,1,0,0,0,,
T1,E,76,34,BH,mostly dead,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,90,-40,RH,!PHL,H,,0,B,B,B,,1,1,2,4,3,1,2,0,0,,
T1,E,95,-5,WC,center DB,H?,,0,0,1,B,,0,0,0,B,B,B,B,0,0,,
T1,E,105,-17,GD,,F,,4,28,15,4,,4,3,2,0,0,,,,,,
T1,E,134,0,GD,ST,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,140,59,GD,edge,H,,B,B,1,4,,3,5,8,4,0,0,,,,,
T1,E,147,19,WC,!PHL,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,163,8,RS,ST,H,,8,25,23,27,,23,42,50,30,9,7,3,0,0,,0
T1,E,175,58,YH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,185,30,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,188,-7,RH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,198,7,YS,"ST, TP to right",,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,200,58,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,203,32,BH,,H,,2,15,4,6,,3,8,8,2,0,0,,,,,
T1,E,210,-20,YD,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,220,-30,GH,alive @ edges,,,0,B,B,B,,B,0,1,B,1,0,0,0,0,,
T1,E,240,-1,BH,ST,F,,1,4,6,6,,4,6,16,21,10,3,2,0,0,,
T1,E,261,5,GC,DB,H,,1,3,3,2,,0,0,0,B,1,1,0,0,0,,
T1,E,278,31,WH,,H,,B,B,1,2,,1,3,3,5,0,1,1,0,0,,
T1,E,286,-51,OD,,H,,B,6,6,4,,5,12,19,13,1,0,0,0,0,,
T1,E,298,59,BH,,H,,B,B,B,B,,3,3,3,0,0,,,,,,
T1,E,302,18,RH,,H,,0,0,0,0,,0,0,1,1,0,0,,,,,
T1,E,346,37,OS,!PHL,H,,B,4,2,3,,0,0,2,2,2,2,2,0,0,,
T1,E,405,60,YC,,,,0,0,B,1,,0,0,1,9,0,0,,,,,
T1,E,420,-16,OD,,,,0,0,B,B,,B,0,2,0,0,,,,,,
T1,E,431,59,RD,,H,,B,1,1,0,,2,4,2,0,0,,,,,,
T1,E,440,25,YH,,,,0,0,0,0,,0,0,0,0,0,,,0,,,
T1,E,470,32,BH,!PHL,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,475,-2,YH,"small, !PHL",,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,534,6,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,537,-48,RC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,567,25,WC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,588,28,RD,,,,1,1,B,B,,B,0,0,0,0,,,,,,
T1,E,600,-27,WC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,601,27,OS,mostly dead,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,615,9,YD,"DB, TP to right",H,,B,B,1,0,,1,1,1,1,0,0,,,,,
T1,E,621,14,BC,mostly dead,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,629,22,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,650,-39,OD,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,650,-23,BH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,690,20,WC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,735,-38,RH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,742,-43,GH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,742,12,RH,,,,0,0,0,0,,0,0,B,0,0,,,,,,
T1,E,757,-44,BC,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,765,0,YC,"ST, DB",,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,778,-30,YD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,804,-11,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,807,-46,WH,,H,,B,1,1,1,,3,4,2,0,0,,,,,,
T1,E,810,5,OH,ST,F?,,0,0,0,0,,B,0,1,1,0,0,,,,,
T1,E,813,-26,GS,,H,,6,7,3,0,,0,1,1,B,0,0,,,,,
T1,E,819,32,GC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,860,22,BD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,888,-8,RC,,H,,B,1,1,0,,0,1,2,0,0,,,,,,
T1,E,893,-16,YC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,903,-25,GD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1030,-53,YS,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1040,-58,BC,,F,,2,2,1,0,,0,0,0,0,0,,,,,,
T1,E,1056,14,WC,"DB, 3 PCS",H,,0,5,4,5,,4,5,4,0,0,,,,,,
T1,E,1061,29,RH,,F,,0,3,1,0,,1,2,1,0,0,,,,,,
T1,E,1065,-14,BH,DB,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1083,23,OC,"2 PCS, DB",,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1091,21,YC,"mostly dead, TP by alive bit",,,0,B,B,B,,B,0,2,B,"0,40","10,0",,,,,
T1,E,1113,4,BD,ST,H,,0,0,B,B,,B,0,1,2,0,0,,,,,
T1,E,1114,30,WH,TP bottom right,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1130,41,OD,tiny,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1131,31,RC,,F,,0,3,1,3,,2,5,6,3,0,0,,,,,
T1,E,1135,-52,OH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1137,58,BH,tiny,,,0,0,0,0,,0,0,0,0,0,0,,,,,
T1,E,1145,-50,RC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1152,-37,GD,TP top left,,,0,0,0,0,,0,0,0,0,0,,,,,,
T1,E,1159,7,YH,,H,,0,B,1,2,,2,3,10,7,5,2,2,,,,
T2,CA,27,13,RD,,,,0,0,0,0,,0,0,0,0,0,,,1,0,,0
T2,CA,35,15,OS,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CA,58,21,YD,,H,,0,53,39,26,,44,64,91,57,19,4,3,0,0,,
T2,CA,130,5,BH,,H,,0,B,1,0,,0,0,0,1,1,0,0,0,,,
T2,CA,200,29,WC,wraps around grass,H,,0,20,13,4,,5,7,5,4,4,2,2,2,0,,0
T2,CA,213,18,GS,,H,,0,B,1,1,,1,1,0,0,0,,,,,,
T2,CA,215,23,RD,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CA,250,43,OS,,H,,0,9,4,2,,3,4,3,2,2,1,1,1,0,,0
T2,CA,259,20,BH,TP slightly left,H,,0,5,11,5,,5,5,8,8,2,0,0,0,,,
T2,CA,260,42,YD,,H,,0,15,9,2,,3,4,9,5,1,0,0,0,,,
T2,CA,280,49,GD,,F,,0,1,2,0,,0,0,0,0,0,,,,,,
T2,CA,330,9,WC,,F,,0,37,32,9,,8,21,16,7,1,0,0,0,,,
T2,CA,348,21,RD,,F,,0,10,2,1,,0,2,0,1,0,0,,,,,
T2,CA,371,10,YS,,F,,0,10,2,1,,2,3,1,0,0,,,,,,
T2,CA,398,30,GD,"3 pieces, huge",H,,0,138,50,21,,40,45,51,19,11,3,4,0,0,,
T2,CA,425,45,BC,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CA,428,,BC,,,,,,,,,,,,,,,,,,,
T2,CA,450,26,WH,,H,,0,11,6,8,,12,15,19,12,2,2,2,0,0,,
T2,CA,462,18,RH,,H,,0,4,2,4,,3,7,9,5,0,0,,,,,
T2,CA,695,36,BC,,H,,0,0,0,6,,8,13,16,6,0,0,,,,,
T2,CA,700,34,OS,,F,,0,0,0,1,,0,0,1,0,0,,,,,,
T2,CA,710,47,GS,,H,,0,0,0,16,,14,22,22,15,1,0,0,0,,,
T2,CA,740,10,RC,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CA,745,0,YS,"ST, !phlox",F,,0,0,0,5,,5,14,18,17,9,6,3,1,0,,0
T2,CA,770,33,RH,,H,,0,0,0,1,,2,5,10,4,2,0,0,0,,,
T2,CA,774,44,WC,Long oval,F,,0,0,0,2,,0,13,8,4,1,0,0,0,,,
T2,CA,785,33,GS,,F,,0,0,0,1,,2,0,6,5,1,0,0,0,,,
T2,CA,788,8,OS,small,H,,0,0,0,B,,B,0,1,2,1,1,0,0,,,
T2,CA,794,3,YC,not incl plt up,H,,0,0,0,3,,6,46,71,21,12,9,9,2,0,,0
T2,CA,800,6,BD,,H,,0,0,0,2,,0,10,7,6,2,2,2,0,0,,
T2,CA,803,10,WH,,F,,0,0,0,1,,0,0,3,1,0,0,,,,,
T2,CA,808,18,OD,"grows into bottom of RC (x=813,y=8)",H,,0,0,0,1,,1,2,1,0,0,,,,,,
T2,CA,813,8,RC,!OD to L,F,,0,0,0,19,,26,51,59,27,5,0,0,0,,,
T2,CA,818,23,GS,,H,,0,0,0,1,,1,3,2,0,0,,,,,,
T2,CA,1054,26,OH,small,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CA,1059,1,RC,ST,H,,0,0,0,4,,7,23,29,39,19,8,11,7,0,,0
T2,CA,1069,42,BC,TP top right,H,,0,0,0,0,,0,4,2,0,0,,,,,,
T2,CA,1077,30,GS,,H,,0,0,0,7,,12,9,13,12,2,2,3,0,0,,
T2,CA,1080,15,YD,,H,,0,0,0,4,,2,8,5,3,0,0,,,,,
T2,CA,1111,7,WH,,,,0,0,0,0,,0,0,0,0,0,,,,,,
T2,CA,1125,12,RH,,F?,,0,0,0,2,,1,0,0,0,0,,,,,,
T2,CA,1165,30,OS,,H,,0,0,0,3,,3,6,4,1,1,0,0,0,,,
T2,CB,15,18,RD,,,,0,0,0,0,,,0,28,38,22,17,11,1,0,,0
T2,CB,20,-50,RS,,F,,0,0,0,1,,0,1,0,0,0,,,,,,
T2,CB,28,41,GH,small,,,0,0,0,0,,,0,0,0,0,,,,,,
T2,CB,64,-28,OD,,H,,0,0,0,0,,1,2,1,0,0,,,,,,
